month,ipi
2024-07,100.00
2024-08,102.23
2024-09,101.44
2024-10,101.48
2024-11,100.84
2024-12,100.45
2025-01,89.10
2025-02,75.79
2025-03,76.48
2025-04,76.48
2025-05,76.66
2025-06,77.17
2025-07,76.65
2025-08,75.82
2025-09,74.07
2025-10,74.07
2025-11,71.65
2025-12,72.97
2026-01,73.44
2026-02,73.69
