category,quarter,index_nominal,index_real,se_log
writing-other,2022Q4,176.998,153.447,0.03464
writing-other,2023Q1,183.574,157.728,0.03496
writing-other,2023Q2,190.567,162.566,0.03679
writing-other,2023Q3,188.83,159.72,0.03874
writing-other,2023Q4,193.134,162.191,0.03973
writing-other,2024Q1,198.723,165.378,0.03868
writing-other,2024Q2,201.051,166.205,0.04002
writing-other,2024Q3,204.295,168.327,0.0395
writing-other,2024Q4,205.791,168.239,0.04427
writing-resume_bio,2020Q1,100.0,100.0,0.0
writing-resume_bio,2020Q2,103.381,104.4,0.05274
writing-resume_bio,2020Q3,110.94,110.767,0.06721
writing-resume_bio,2020Q4,128.81,127.688,0.07409
writing-resume_bio,2021Q1,130.128,127.698,0.07766
writing-resume_bio,2021Q2,144.044,138.823,0.07699
writing-resume_bio,2021Q3,149.505,141.826,0.07658
writing-resume_bio,2021Q4,158.244,146.917,0.07599
writing-resume_bio,2022Q1,159.992,145.342,0.07496
writing-resume_bio,2022Q2,173.645,154.121,0.07593
writing-resume_bio,2022Q3,177.097,155.137,0.07404
writing-resume_bio,2022Q4,189.12,163.956,0.07864
writing-resume_bio,2023Q1,190.406,163.597,0.08228
writing-resume_bio,2023Q2,192.078,163.855,0.07548
writing-resume_bio,2023Q3,192.13,162.512,0.07466
writing-resume_bio,2023Q4,205.124,172.26,0.07659
writing-resume_bio,2024Q1,199.127,165.714,0.08308
writing-resume_bio,2024Q2,202.441,167.354,0.09244
writing-resume_bio,2024Q3,210.241,173.227,0.07404
writing-resume_bio,2024Q4,222.207,181.659,0.08229
