quarter,ipi
2017Q3,53.70
2018Q3,74.11
2018Q4,75.55
2019Q1,100.00
2019Q2,80.31
2019Q3,72.95
2019Q4,73.39
2020Q1,77.31
2020Q2,85.74
2020Q3,90.32
2020Q4,99.00
2021Q1,109.28
2021Q2,118.02
2021Q3,129.93
2021Q4,139.74
2022Q1,149.18
2022Q2,165.54
2022Q3,180.90
2022Q4,193.94
2023Q1,214.52
2023Q2,223.29
2023Q3,245.86
2023Q4,261.92
2024Q1,275.74
2024Q2,293.19
2024Q3,304.48
2024Q4,325.79
2025Q1,274.66
2025Q2,246.44
2025Q4,315.21
